Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover
ONWARD MEDICAL;NL0015000HT4;ONWD;Euronext Brussels, Amsterdam;EUR;6.05;6.16;6.02;6.02;01/12/2022 17:29;CET;2283;13867.46
ORDINA;NL0000440584;ORDI;Euronext Amsterdam;EUR;4.01;4.08;3.99;4.08;01/12/2022 17:35;CET;221936;896665.29
PB HOLDING;NL0000336303;PBH;Euronext Amsterdam;EUR;2.60;2.61;2.60;2.61;01/12/2022 13:51;CET;527;1370.54
PEGASUS ORD SHARES;NL00150009D0;PACE;Euronext Amsterdam;EUR;9.75;9.75;9.65;9.65;01/12/2022 14:36;CET;1850;17852.90
PEGASUS UNITS;NL00150009E8;PACEU;Euronext Amsterdam;EUR;9.78;9.78;9.78;9.78;01/12/2022 15:18;CET;12;117.36
PEGASUS WARRANTS;NL00150009B4;PACEW;Euronext Amsterdam;EUR;0.20;0.20;0.20;0.20;19/07/2022 14:45;CET;20000;4000.00
PERSHING;GG00BPFJTF46;PSH;Euronext Amsterdam;USD;35.80;36.40;35.60;36.05;01/12/2022 17:35;CET;50549;1831464.70
PHARMING GROUP;NL0010391025;PHARM;Euronext Amsterdam;EUR;1.228;1.255;1.217;1.225;01/12/2022 17:36;CET;8812061;10907417.393
PHILIPS BUY BACK;NL0000009322;INPHI;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
PHILIPS KON;NL0000009538;PHIA;Euronext Amsterdam;EUR;14.50;14.716;14.186;14.292;01/12/2022 17:37;CET;4263766;61170135.90
PORCELEYNE FLES;NL0000378669;PORF;Euronext Amsterdam;EUR;12.40;12.40;12.40;12.40;01/12/2022 16:30;CET;52;644.80
POSTNL;NL0009739416;PNL;Euronext Amsterdam;EUR;1.7855;1.8245;1.779;1.8105;01/12/2022 17:35;CET;1937311;3497243.662
PPLA CLASS A;BMG7209L1000;PPLAA;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
PPLA CLASS B;BMG7209L1182;PPLAB;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
PPLA European Unit;US69355L1098;PPLA;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
PROSUS;NL0013654783;PRX;Euronext Amsterdam;EUR;62.43;62.57;60.85;61.94;01/12/2022 17:35;CET;3217771;198855402.19
RA SPL ACQ SHA;KYG7552D1016;RSAC;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;02/05/2022 00:00;CET;-;-
RA SPL ACQ UNITS;KYG7552D1271;RSACU;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;27/04/2022 00:00;CET;-;-
RA SPL ACQ WARR;KYG7552D1198;RSACW;Euronext Amsterdam;USD;0.90;0.90;0.90;0.90;02/05/2022 00:00;CET;-;-
RANDSTAD NV;NL0000379121;RAND;Euronext Amsterdam;EUR;55.64;55.82;55.10;55.62;01/12/2022 17:35;CET;460270;25571098.83
REINET INVESTMENTS;LU0383812293;REINA;Euronext Amsterdam;EUR;17.40;17.40;16.90;16.90;01/12/2022 15:50;CET;1400;23920.00
RELX;GB00B2B0DG97;REN;Euronext Amsterdam;EUR;27.04;27.31;26.93;27.21;01/12/2022 17:35;CET;1242880;33787372.00
RENEWI;GB00BNR4T868;RWI;Euronext Amsterdam;EUR;6.61;6.63;6.52;6.56;01/12/2022 17:35;CET;25442;167440.63
RETAIL ESTATES;BE0003720340;RET;Euronext Brussels, Amsterdam;EUR;61.20;61.60;60.20;60.20;01/12/2022 17:35;CET;6700;406075.40
ROODMICROTEC;NL0000440477;ROOD;Euronext Amsterdam;EUR;0.208;0.21;0.207;0.21;01/12/2022 16:00;CET;71179;14865.378
SAINT GOBAIN;FR0000125007;SGO;Euronext Paris, Amsterdam, Brussels;EUR;44.635;45.20;44.21;44.99;01/12/2022 17:35;CET;1259720;56495697.845
SBM OFFSHORE;NL0000360618;SBMO;Euronext Amsterdam;EUR;15.28;15.74;15.145;15.54;01/12/2022 17:35;CET;967173;14990412.59
SHELL PLC;GB00BP6MXD84;SHELL;Euronext Amsterdam;EUR;28.01;28.085;27.775;27.815;01/12/2022 17:37;CET;11530278;321912919.025
SIF HOLDING;NL0011660485;SIFG;Euronext Amsterdam;EUR;11.58;11.82;11.58;11.82;01/12/2022 17:35;CET;7696;90121.46
SIGNIFY NV;NL0011821392;LIGHT;Euronext Amsterdam;EUR;32.87;33.02;32.12;32.39;01/12/2022 17:35;CET;429208;13944737.95
SLIGRO FOOD GROUP;NL0000817179;SLIGR;Euronext Amsterdam;EUR;16.68;16.90;16.50;16.64;01/12/2022 17:35;CET;29909;497262.38
SNOWWORLD;NL0010627865;SNOW;Euronext Amsterdam;EUR;10.50;10.50;10.50;10.50;22/11/2022 09:49;CET;5000;52500.00
SPR1 ORD SHARES;NL0015000NM7;SPR1;Euronext Amsterdam;EUR;10.10;10.10;10.00;10.10;01/12/2022 15:35;CET;35102;354206.40
SPR1T TREAS SHARES;NL0015000NL9;SPR1T;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
SPR1W WARRANTS;NL0015000NK1;SPR1W;Euronext Amsterdam;EUR;0.25;0.25;0.22;0.22;24/02/2022 17:35;CET;115000;27250.00
TETRAGON FIN GRP;GG00B1RMC548;TFG;Euronext Amsterdam;USD;9.70;9.76;9.60;9.76;01/12/2022 16:06;CET;11349;109880.66
THUNDERBIRD;VGG885761061;TBIRD;Euronext Amsterdam;USD;0.0516;0.0576;0.0516;0.055;01/12/2022 14:39;CET;22000;1174.00
TIE KINETIX;NL0010389508;TIE;Euronext Amsterdam;EUR;16.50;16.70;16.50;16.70;01/12/2022 10:06;CET;31;515.00
TKH GROUP;NL0000852523;TWEKA;Euronext Amsterdam;EUR;37.68;38.22;37.56;38.08;01/12/2022 17:35;CET;69858;2653280.82
TOMTOM;NL0013332471;TOM2;Euronext Amsterdam;EUR;7.83;8.05;7.745;8.025;01/12/2022 17:35;CET;428597;3398082.895
UMG;NL0015000IY2;UMG;Euronext Amsterdam;EUR;22.60;22.67;22.23;22.435;01/12/2022 17:35;CET;1428752;32027416.84
UNIBAIL-RODAMCO-WE;FR0013326246;URW;Euronext Amsterdam, Paris;EUR;52.23;52.35;50.96;51.14;01/12/2022 17:35;CET;670523;34491877.48
UNILEVER;GB00B10RZP78;UNA;Euronext Amsterdam;EUR;48.28;48.70;48.03;48.685;01/12/2022 17:35;CET;2646839;128462651.59
V LANSCHOT KEMPEN;NL0000302636;VLK;Euronext Amsterdam;EUR;23.10;23.15;22.75;22.95;01/12/2022 17:35;CET;129844;2976306.75
VALUE8;NL0010661864;VALUE;Euronext Amsterdam;EUR;5.70;5.76;5.60;5.60;01/12/2022 17:35;CET;1061;6004.88
VALUE8 CUM PREF;NL0015118803;PREVA;Euronext Amsterdam;EUR;5.00;5.00;5.00;5.00;30/11/2022 11:30;CET;900;4500.00
VAM INVEST SHARES;NL0015000G40;VAM;Euronext Amsterdam;EUR;9.75;9.75;9.70;9.75;30/11/2022 17:28;CET;102;994.40
VAM INVEST TR SHA;NL0015000GH1;VAMT;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
VAM INVEST WARRANT;NL0015000G32;VAMW;Euronext Amsterdam;EUR;0.34;0.34;0.34;0.34;01/03/2022 13:06;CET;52500;17850.00
VASTNED;NL0000288918;VASTN;Euronext Amsterdam;EUR;21.10;21.50;21.10;21.50;01/12/2022 17:35;CET;3565;76136.45
VEON;BMG9349W1038;VEON;Euronext Amsterdam;EUR;0.59;0.62;0.59;0.60;01/12/2022 17:29;CET;50247;30726.445
VIVORYON;NL00150002Q7;VVY;Euronext Amsterdam;EUR;9.98;10.40;9.80;10.10;01/12/2022 17:35;CET;69660;703525.72
VOLTA FINANCE;GG00B1GHHH78;VTA;Euronext Amsterdam;EUR;4.98;5.00;4.90;5.00;01/12/2022 16:48;CET;18300;90355.28
VOPAK;NL0009432491;VPK;Euronext Amsterdam;EUR;28.34;28.66;28.22;28.32;01/12/2022 17:35;CET;261781;7443623.07
WDP;BE0974349814;WDP;Euronext Brussels, Amsterdam;EUR;26.00;26.12;25.78;25.88;01/12/2022 17:38;CET;411463;10661676.06
WERELDHAVE;NL0000289213;WHA;Euronext Amsterdam;EUR;13.41;13.42;12.87;13.08;01/12/2022 17:35;CET;116611;1526561.61
WOLTERS KLUWER;NL0000395903;WKL;Euronext Amsterdam;EUR;102.60;105.50;102.00;105.10;01/12/2022 17:35;CET;648256;67830778.45
